,Patron Type Code,Patron Type Definition,Total Checkouts,Total Renewals,Age Range,Home Library Code,Home Library Definition,Circulation Active Month,Circulation Active Year,Notice Preference Code,Notice Preference Definition,Provided Email Address,Year Patron Registered,Outside of County,Supervisor District
408896,0,ADULT,45,0,10 to 19 years,X,Main Library,February,2016.0,z,email,True,2015,True,
277647,0,ADULT,10,10,35 to 44 years,S7,Sunset,June,2015.0,z,email,True,2015,True,
300529,0,ADULT,70,72,35 to 44 years,X,Main Library,July,2016.0,z,email,True,2014,True,
177469,0,ADULT,37,85,20 to 24 years,M2,Marina,October,2015.0,z,email,True,2014,True,
81308,0,ADULT,4,0,20 to 24 years,X,Main Library,October,2015.0,z,email,True,2015,True,
259820,0,ADULT,1,2,25 to 34 years,S7,Sunset,February,2015.0,z,email,True,2015,True,
100884,0,ADULT,67,21,25 to 34 years,X,Main Library,July,2016.0,z,email,True,2014,True,
298696,3,SENIOR,0,0,65 to 74 years,X,Main Library,February,2015.0,z,email,True,2013,True,
177665,0,ADULT,180,105,35 to 44 years,R3,Richmond,March,2016.0,z,email,True,2014,True,
186597,0,ADULT,6,0,45 to 54 years,R3,Richmond,July,2016.0,z,email,True,2016,True,
140379,0,ADULT,10,0,25 to 34 years,X,Main Library,May,2015.0,z,email,True,2011,True,
269253,0,ADULT,2,0,25 to 34 years,M6,Mission,December,2015.0,z,email,True,2015,True,
395984,2,YOUNG ADULT,55,7,10 to 19 years,I5,Ingleside,June,2016.0,z,email,True,2013,True,
210168,0,ADULT,1,0,25 to 34 years,M4,Merced,February,2016.0,z,email,True,2016,True,
381141,1,JUVENILE,10,9,10 to 19 years,M4,Merced,July,2016.0,z,email,True,2015,True,
227742,0,ADULT,8,0,45 to 54 years,X,Main Library,April,2016.0,z,email,True,2013,True,
356776,1,JUVENILE,1,0,10 to 19 years,R3,Richmond,January,2016.0,z,email,True,2016,True,
295702,0,ADULT,15,5,60 to 64 years,M6,Mission,July,2016.0,z,email,True,2013,True,
55650,0,ADULT,30,11,55 to 59 years,X,Main Library,June,2016.0,z,email,True,2006,True,
281367,0,ADULT,13,21,20 to 24 years,X,Main Library,July,2016.0,z,email,True,2016,True,
228051,0,ADULT,5,0,60 to 64 years,X,Main Library,July,2016.0,z,email,True,2015,True,
93960,0,ADULT,9,0,35 to 44 years,X,Main Library,July,2016.0,p,phone,False,2016,True,
272138,0,ADULT,1,0,25 to 34 years,M6,Mission,February,2016.0,z,email,True,2016,True,
92438,0,ADULT,1,3,20 to 24 years,X,Main Library,August,2015.0,z,email,True,2015,True,
47659,0,ADULT,229,54,45 to 54 years,X,Main Library,July,2016.0,z,email,True,2010,True,
255149,0,ADULT,6,0,55 to 59 years,X,Main Library,July,2015.0,z,email,True,2011,True,
165332,0,ADULT,24,13,25 to 34 years,G4,Glen Park,March,2016.0,z,email,True,2011,True,
326365,1,JUVENILE,22,0,10 to 19 years,X,Main Library,April,2016.0,z,email,True,2014,True,
144943,0,ADULT,6,2,45 to 54 years,M8,Mission Bay,October,2015.0,p,phone,False,2008,True,
197988,0,ADULT,14,0,55 to 59 years,W2,West Portal,March,2015.0,z,email,True,2010,True,
179932,3,SENIOR,195,87,65 to 74 years,W2,West Portal,July,2016.0,z,email,True,2003,True,
48577,0,ADULT,7,0,25 to 34 years,E9,Excelsior,May,2016.0,z,email,True,2009,True,
76150,0,ADULT,1,0,35 to 44 years,M4,Merced,January,2016.0,z,email,True,2014,True,
200500,0,ADULT,1,0,20 to 24 years,R3,Richmond,August,2015.0,z,email,True,2015,True,
172150,3,SENIOR,121,0,65 to 74 years,X,Main Library,July,2016.0,p,phone,False,2009,True,
83751,0,ADULT,4,0,25 to 34 years,I5,Ingleside,February,2016.0,z,email,True,2015,True,
110071,0,ADULT,6,12,25 to 34 years,X,Main Library,August,2015.0,z,email,True,2015,True,
364446,0,ADULT,6,1,45 to 54 years,W4,Western Addition,May,2016.0,z,email,True,2014,True,
147811,3,SENIOR,2,0,65 to 74 years,X,Main Library,September,2015.0,z,email,True,2015,True,
272089,3,SENIOR,67,88,65 to 74 years,X,Main Library,January,2016.0,z,email,True,2003,True,
218739,3,SENIOR,2,3,65 to 74 years,X,Main Library,July,2016.0,z,email,True,2016,True,
352491,1,JUVENILE,3,0,10 to 19 years,E9,Excelsior,January,2015.0,z,email,True,2010,True,
98784,0,ADULT,27,59,25 to 34 years,X,Main Library,March,2016.0,z,email,True,2012,True,
63352,0,ADULT,53,78,60 to 64 years,X,Main Library,August,2015.0,z,email,True,2013,True,
168898,0,ADULT,1,0,25 to 34 years,M4,Merced,May,2016.0,p,phone,True,2016,True,
89793,3,SENIOR,4,16,65 to 74 years,X,Main Library,May,2016.0,z,email,True,2016,True,
145882,3,SENIOR,15,9,65 to 74 years,M4,Merced,December,2015.0,p,phone,True,2015,True,
223523,0,ADULT,143,13,20 to 24 years,X,Main Library,February,2016.0,z,email,True,2012,True,
137129,0,ADULT,2,2,45 to 54 years,X,Main Library,June,2016.0,z,email,True,2014,True,
259484,4,WELCOME,1,0,25 to 34 years,E9,Excelsior,April,2016.0,z,email,True,2015,True,
181848,3,SENIOR,4,0,65 to 74 years,X,Main Library,October,2015.0,z,email,True,2015,True,
64697,0,ADULT,0,0,20 to 24 years,X,Main Library,March,2016.0,z,email,True,2016,True,
251403,0,ADULT,152,232,45 to 54 years,M4,Merced,July,2016.0,z,email,True,2003,True,
186878,0,ADULT,15,4,25 to 34 years,M8,Mission Bay,July,2015.0,z,email,True,2015,True,
98431,0,ADULT,203,412,45 to 54 years,X,Main Library,July,2015.0,z,email,True,2008,True,
176319,0,ADULT,10,0,35 to 44 years,X,Main Library,May,2016.0,p,phone,False,2008,True,
16960,0,ADULT,21,2,60 to 64 years,M4,Merced,August,2015.0,z,email,True,2015,True,
141958,3,SENIOR,201,74,65 to 74 years,E9,Excelsior,July,2016.0,p,phone,False,2003,True,
