type,country,species,injury,date,sex,fatal
Unprovoked,Australia,Not stated,minor bite to lower body,2025-01-23 00:00:00,M,False
Unprovoked,Australia,Bronze whaler,none - chunk of surfboard  bitten out,2025-01-22 00:00:00,M,False
Unprovoked,Mozambique,Described as a large terrifying animal,"legs, buttocks and stomach",2025-01-03 00:00:00,M,False
Provoked,USA,Not stated,bitten on the arm,2025-01-11 00:00:00,M,False
Unprovoked,New Caledonia,Reportedly Tiger or Bull shark,severe arm injury and delay in medical treatment caused victim to die,2025-01-02 00:00:00,M,False
Unprovoked,Australia,Great White Shart estimated 4.8m 16 ft,body not recovered,2025-01-02 00:00:00,M,False
Unprovoked,Mozambique,Unknown,diving for sea urchins attacked by shark injuries not specified,2024-12-30 00:00:00,M ,False
Unprovoked,Egypt,Reportedly a Tiger Shark,injuries to stomach preventing attack on friend,2024-12-29 00:00:00,M,False
Unprovoked,Egypt,Reportedly a Tiger Shark,entire calf muscle removed and bitten both arms and legs,2024-12-29 00:00:00,M,False
Unprovoked,Australia,Unknown ,life threatening injuries to neck and arm,2024-12-28 00:00:00,M,False
Unprovoked,Australia,Not stated,not stated but reported as minor injuries both arms,2024-12-02 00:00:00,M,False
Unprovoked,Australia,1m shark species unknown,not stated minor injuries,2024-12-01 00:00:00,M,False
Unprovoked,Thailand,Unknown,minor to  moderate injuries both legs,2024-11-30 00:00:00,F,False
Unprovoked,New Zealand,Great White Shark,not stated but injuries fatal,2024-11-19 00:00:00,M,True
Unprovoked,Maldives,Not stated,not stated but reported as minor injuries,2024-11-15 00:00:00,F,False
Unprovoked,Hawaii,Not stated,right leg severted below knee,2024-11-01 00:00:00,M,False
Unprovoked,Australia,Reported as a large Tiger shark,30cm (1ft) bite to lower calf,2024-10-31 00:00:00,F,False
Unprovoked,USA,Bull or tiger 7-8ft,both feet bitten,2024-10-25 00:00:00,M,False
Unprovoked,Honduras,Bull shark,back and thigh extensive tissue loss,2024-10-14 00:00:00,M,False
Unprovoked,USA,Bull shark 6ft,bite to left arm,2024-10-11 00:00:00,M,False
Questionable,Indonesia,Large Tiger shark  ,found inside shark,2024-09-26 00:00:00,F,False
Unprovoked,Honduras,Bull shark 6-7ft,bite to left leg,2024-09-17 00:00:00,M,False
Unprovoked,Morocco,Reportedly a Great White,leg severed,2024-09-16 00:00:00,F,False
Unprovoked,Jamaica,Reportedly Tiger Shark,head right arm and leg severed,2024-08-26 00:00:00,M,False
