type,country,species,injury,date,sex,fatal
Invalid,MEXICO,"Reported by media as shark attack, but shark involvement prior to death was not confirmed",probable drowning with post-mortem bites,18-Apr-2008,M,False
Invalid,AUSTRALIA,Shark involvement not confirmed; thought to be a barracuda bite,2 puncture wounds to leg,17-Apr-2008,M,False
Unprovoked,USA,1.5' to 2' shark,puncture wounds to right foot,15-Apr-2008,M,False
Unprovoked,FIJI,White shark,left forearm bitten,Reported 09-Apr-2008,M,False
Unprovoked,USA,6' shark,shin bitten,25-Mar-2008,M,False
Unprovoked,AUSTRALIA,Bull shark,fatal,08-Apr-2008,M,True
Unprovoked,USA,White shark,right foot & ankle bitten,03-Apr-2008,M,False
Unprovoked,SOUTH AFRICA,White shark,right leg bitten,28-Mar-2008,M,False
Unprovoked,USA,4' to 5' shark,foot bitten,28-Mar-2008,M,False
Unprovoked,USA,a small shark,right foot bitten,28-Mar-2008,M,False
Unprovoked,USA,2.5' shark,three small lacerations/ punctures to right foot,23-Mar-2008,M,False
Unprovoked,USA,White shark,two 3-inch lacerations to right ankle,21-Mar-2008,M,False
Unprovoked,USA,Shark involvement not confirmed,minor injury,15-Mar-2008,M,False
Unprovoked,USA,White shark,"no injury to surfer, surfboard bitten by the shark",07-Mar-2008,M,False
Unprovoked,BAHAMAS,"A bull shark, according to some of the divers on the boat","leg bitten, fatal",24-Feb-2008,M,True
Unprovoked,FRENCH POLYNESIA,White shark,lacerations to face,Reported 21-Feb-2008,M,False
Unprovoked,USA,White shark,lacerations to foot,15-Feb-2008,M,False
Unprovoked,AUSTRALIA,1 m shark,abrasions to elbow; collided with shark,07-Feb-2008,F,False
Unprovoked,USA,3' shark,lacerations to foot,06-Feb-2008,M,False
Provoked,JAPAN,"Goblin shark, 4.2'","no injury, captive shark attempted to bite diver's arm provoked incidentt",2008.01.30,M,False
Unprovoked,SOUTH AFRICA,"Blacktip shark, 2m","no injury to surf-skiier, shark holed ski",29-Jan-2008,M,False
Provoked,AUSTRALIA,"Mako shark, 90kg",laceration to left knee provoked incident,27-Jan-2008,M,False
Invalid,NEW ZEALAND,No shark involvement,"stingray envenomation, not a shark",Reported 19-Jan-2008,M,False
Unprovoked,USA,a small shark,left foot bitten,10-Jan-2008,M,False
Provoked,USA,"Nurse shark, 10'",minor injury to hand by hooked shark   provoked incident,Fall 2008,M,False
Unprovoked,MEXICO,Possibly a hammerhead shark,leg bitten,Summer-2008,M,False
Unprovoked,ECUADOR,3 m shark,lacerations & puncture wounds  to left thigh,21-Dec-2007,M,False
Invalid,BRITISH VIRGIN ISLANDS,Invalid,shark bites were post-mortem,19-Dec-2007,M,False
Unprovoked,AUSTRALIA,2 m shark,severe lacerations to right buttock,18-Dec-2007,M,False
Unprovoked,AUSTRALIA,"""a small shark""",lacerations to hand,15-Dec-2007,M,False
Invalid,AUSTRALIA,Not a shark attack; it was a hoax,lacerations to left forearm,14-Dec-2007,M,False
Unprovoked,USA,Tiger shark,"no injury, shark bit surfboard",10-Dec-2007,M,False
Unprovoked,NEW ZEALAND,White shark,"no injury, shark bit surfboard & severed leash",09-Dec-2007,F,False
Unprovoked,BRAZIL,2.27 m shark,20 cm injury to left foot,07-Dec-2007,M,False
Provoked,AUSTRALIA,reef shark,minor injury to finger by netted shark provoked incident,18-Nov-2007,M,False
Unprovoked,AUSTRALIA,White shark,"no injury, teethmarks in board & torn wetsuit",08-Nov-2007,M,False
Unprovoked,SOUTH AFRICA,1.5 to 2 m shark,lacerations to feet,07-Nov-2007,M,False
Unprovoked,USA,4' to 5' shark,cut to right knee,06-Nov-2007,M,False
Unprovoked,USA,5' shark,lacerations to right leg,04-Nov-2007,M,False
Unprovoked,SOUTH AFRICA,"White shark, 3m to 4m",lacerations to thigh,03-Nov-2007,M,False
Invalid,MEXICO,Invalid,white shark breached cage. no injury to occupants,November 2011,M,False
Unprovoked,USA,Tiger shark,lacerations to left lower leg,29-Oct-2007,M,False
Unprovoked,AUSTRALIA,"White shark, 2.5m ",small laceration to wrist,15-Oct-2007,F,False
Unprovoked,AUSTRALIA,Bronze whaler shark,laceration to calf,13-Oct-2007,M,False
Unprovoked,USA,3' to 4' shark,4 scratches on left hand,07-Oct-2007,M,False
Unprovoked,USA,"Blacktip shark, 5'",severe lacerations to right hand,06-Oct-2007,M,False
Unprovoked,USA,White shark,puncture wound to foot,30-Sep-2007,M,False
Sea Disaster,PHILIPPINES,White shark,"fatal        only 4 of the 18 on board were rescued, some of the missing were allegedly killed by sharks",30-Sep-2007,M,True
Unprovoked,NEW CALEDONIA,White shark,fatal,30-Sep-2007,F,True
Unprovoked,BAHAMAS,Caribbean reef shark,thigh bitten,28-Sep-2007,F,False
Unprovoked,USA,White shark,"no injury to surfer, surfboard bitten",27-Sep-2007,F,False
Unprovoked,EGYPT,Oceanic whitetip sharks were in the vicinity,"severe lacerations to lower left leg, ankle and foot",27-Sep-2007,F,False
Invalid,USA,Shark involvement prior to death was not confirmed,shark involvement prior to death unconfirmed,22-Sep-2007,F,False
Unprovoked,USA,4' shark,laceration to foot,22-Sep-2007,F,False
Unprovoked,USA,3' shark,small lacerations to bottom of right big toe,20-Sep-2007,M,False
Unprovoked,SOLOMON ISLANDS,Gray reef shark,left thigh bitten,17-Sep-2007,M,False
Unprovoked,USA,White shark,laceration to right heel,16-Sep-2007,M,False
Unprovoked,USA,9.5' shark?,"no injury, surfboard bitten",16-Sep-2007,F,False
Unprovoked,USA,"Nurse shark, 2' to 3' ","minor injury, shark latched onto his abdomen",13-Sep-2007,M,False
Unprovoked,USA,White shark,puncture wounds & 2-inch laceration to calf,08-Sep-2007,F,False
Unprovoked,USA,White shark,laceration to right big toe,05-Sep-2007,F,False
Unprovoked,USA,White shark,lacerations to left calf and both feet,04-Sep-2007,M,False
Unprovoked,USA,"18"" to 24"" shark",tiny punctures to arm,03-Sep-2007,F,False
Unprovoked,USA,Possibly a spinner shark,"3"" laceration to left forearm",03-Sep-2007,M,False
Unprovoked,USA,"Tiger shark, 10' to 12' ",laceration to right heel,28-Aug-2007,M,False
Unprovoked,USA,"White shark, 12'",lacerations to thigh & torso,28-Aug-2007,M,False
Unprovoked,USA,3' shark,left hand  bitten,26-Aug-2007,M,False
Unprovoked,USA,3' shark,6 lacerations to left hand,25-Aug-2007,M,False
Provoked,USA,Sand shark,minor injury from captive shark provoked incident,22-Aug-2007,M,False
Provoked,USA,Sandtiger shark,forearm bitten by hooked shark provoked incident,20-Aug-2007,M,False
Unprovoked,USA,White shark,torso bitten,19-Aug-2007,M,False
Unprovoked,USA,4' to 5' shark,foot bitten,19-Aug-2007,M,False
Unprovoked,USA,White shark,right calf bitten,19-Aug-2007,M,False
Unprovoked,USA,Possibly a 6' bull shark,puncture wounds to torso,15-Aug-2007,M,False
Unprovoked,USA, ,"minor injury, small lacerations to right foot",12-Aug-2007,F,False
Unprovoked,USA,White shark,"minor injury, lacerations to left ankle & foot",11-Aug-2007,M,False
Unprovoked,USA,White shark,lacerations to right foot,09-Aug-2007,M,False
Unprovoked,USA,White shark,lacerations to lower leg & ankle,09-Aug-2007,M,False
Unprovoked,USA,Possibly a 10' bull shark,lacerations to arm,07-Aug-2007,F,False
Unprovoked,USA,White shark,minor injury to shoulder,29-Jul-2007,M,False
Unprovoked,USA,White shark,"no injury, shark bit surfboard",28-Jul-2007,M,False
Unprovoked,USA,"White shark, 12' ","no injury, surfboard bumped by shark for 20 minutes",22-Jul-2007,M,False
Watercraft,USA,White shark,"no injury, kayak bitten",21-Jul-2007,M,False
Unprovoked,USA, ,left calf severely bitten,19-Jul-2007.b,M,False
Unprovoked,AUSTRALIA,"Bronze whaler shark, 1.5 m ",calf bitten,19-Jul-2007.a,M,False
Unprovoked,USA,2' to 3' shark,right calf bitten,18-Jul-2007,M,False
Provoked,NORWAY,"3' small spotted catshark, Scyliorhinus canicula",provoked incident           no injury. diver touched 'dead' shark; shark bit his equipment-covered arm,18-Jul-2007,M,False
Invalid,USA,Shark involvement not confirmed,foot injured. shark involvment uncomfirmed,17-Jul-2007,F,False
Unprovoked,USA,5' shark,lacerations to right thigh & left foot,17-Jul-2007,F,False
Unprovoked,BAHAMAS,"Bull shark, 5' ","lacerations to thumb, ring and pinky fingers of right hand",10-Jul-2007,F,False
Unprovoked,USA,White shark,right foot bitten,05-Jul-2007,M,False
Unprovoked,REUNION,2 m shark,minor injuries to thigh & knee,04-Jul-2007,M,False
Provoked,USA,"Lemon shark, 6' female ",lacerations to right  hand by hooked shark provoked incident,30-Jun-2007,M,False
Unprovoked,USA,White shark,hand bitten,30-Jun-2007,F,False
Unprovoked,USA,4' shark,6 to 8 puncture wounds to right hand,25-Jun-2007,M,False
Unprovoked,USA,Tiger shark,"no injury, board damaged",24-Jun-2007,M,False
Invalid,USA,Shark involvement not confirmed,superficial injuries to upper leg may have been caused by surfboard fin,17-Jun-2007,F,False
Unprovoked,USA,3' to 4' shark,right foot bitten,12-Jun-2007,F,False
Unprovoked,AUSTRALIA,White shark,lacerations to leg & ankle,05-Jun-2007,M,False
Unprovoked,USA,White shark,lacerations to lower leg,26-May-2007,F,False
Provoked,USA,A 10-year-old 94-pound pregnant blacktip reef shark,left shin bitten by captive shark provoked incident,24-May-2007,F,False
Provoked,ENGLAND,"Lesser spotted dogfish, Scyliorhinus canicula, less than 80 cm in length",bitten on the nose by a hooked shark provoked incident,Reported 17-May-2007,M,False
Unprovoked,AUSTRALIA,2.5 m shark,left heel & calf bitten,16-May-2007,F,False
Unprovoked,AUSTRALIA,10' shark,"no injury, shark's fin caught his leg",12-May-2007,M,False
Unprovoked,USA,4' to 5' shark,knee bitten,10-May-2007,F,False
Unprovoked,SEYCHELLES,"White shark, 2m ",no injury,Reported 09-May-2007,M,False
Invalid,AUSTRALIA,Shark involvement prior to death was not confirmed,shark involvement prior to death unconfirmed,08-May-2007,M,False
Unprovoked,USA,"Tiger shark, 14' ",right foot bitten,07-May-2007,F,False
Unprovoked,USA,6' to 8' shark,circular bite on left thigh,07-May-2007,M,False
Provoked,BAHAMAS,"Lemon shark, >1 m ",lacerations to right upper arm by captive shark provoked incident,May-2007,F,False
Unprovoked,AUSTRALIA,"""a small shark""",lower leg & foot injured,26-Apr-2007,F,False
Unprovoked,USA,blacktip or spinner shark,left foot bitten,22-Apr-2007,M,False
Unprovoked,USA,3' to 4' shark,lacerations to left index finger & thumb,20-Apr-2007,M,False
Unprovoked,NEW CALEDONIA,Tiger shark,left foot bitten,09-Apr-2007,M,False
Unprovoked,USA,White shark,lacerations & puncture wounds to right calf,01-Apr-2007,M,False
Unprovoked,USA,3' shark,lacerations to right ankle,31-Mar-2007,M,False
Unprovoked,USA,White shark,minor cuts to right buttock & thigh,31-Mar-2007,M,False
Unprovoked,USA,4' to 5' shark,punctures & lacerations to right calf & calf,21-Mar-2007,M,False
Unprovoked,AUSTRALIA,1.5 m shark,lacerations to 3 fingers of left hand,20-Mar-2007,F,False
Provoked,USA,5' shark,right hand bitten by hooked shark provoked incident,Reported 14-Mar-2007,M,False
Unprovoked,AUSTRALIA,2 to 2.5 m shark,"bruises to arm and hand, laceration to lower leg & minor injuries to foot",12-Mar-2007,F,False
Unprovoked,USA,White shark,lacerations to right forearm & hand,11-Mar-2007,M,False
Provoked,NEW ZEALAND,Tiger shark,leg bitten  by shark after he shot at it & missed  provoked incident,Reported 05-Mar-2007,M,False
Invalid,COSTA RICA,Shark involvement prior to death was not confirmed,death due to drowning. shark bite may have been postmortem,04-Feb-2007,M,False
Unprovoked,AUSTRALIA,White shark,lacerations to  lower left leg & ankle,03-Feb-2007,M,False
Unprovoked,NEW CALEDONIA,White shark,survived,Feb-2007,M,False
Unprovoked,NEW CALEDONIA,Tiger shark,leg bitten,25-Jan-2007,M,False
Unprovoked,AUSTRALIA,"White shark, 3m",head & torso bitten,23-Jan-2007,M,False
Invalid,AUSTRALIA,Shark involvement prior to death was not confirmed,shark involvement prior to death unconfirmed,19-Jan-2007,M,False
Unprovoked,SOUTH AFRICA,Tiger shark,"presumed fatal, body not recovered",14-Jan-2007,M,True
Unprovoked,AUSTRALIA,2.4 m shark,"no injury, shark damaged surfboard",09-Jan-2007,M,False
Invalid,USA,"24"" to 30"" shark",no injury,07-Jan-2007,M,False
Unprovoked,USA,"6' to 8' shark, possibly a tiger shark","no injury, shark removed piece of surfboard",01-Jan-2007,M,False
Provoked,FRENCH POLYNESIA,Silvertip shark,scratch on face provoked incident,2007.,M,False
Unprovoked,AUSTRALIA,2.5 to 3 m shark,left leg bitten,18-Dec-2006,M,False
Unprovoked,NEW ZEALAND,2 to 3 m shark,foot bitten,11-Dec-2006,M,False
Unprovoked,USA,"White shark, 12' to 15' ","minor injuries, surfboard bitten",10-Dec-2006,M,False
Provoked,SOUTH AFRICA,"Raggedtooth shark, 150-kg","hand, thigh & calf bitten by hooked shark provoked incident",06-Dec-2006,M,False
Unprovoked,AUSTRALIA,"White shark, 5m ","right leg severed, left leg lacerated",02-Dec-2006,M,False
Unprovoked,USA,2 m to 3 m shark,laceration to left thigh & left hand,11-Nov-2006,M,False
Provoked,SOUTH AFRICA,"Bull shark, 1.5m ",left arm lacerated when he grabbed shark by its tail provoked incident,09-Nov-2006,M,False
Unprovoked,USA,"White shark, 16' ","no injury, surfboard bitten",31-Oct-2006,M,False
Unprovoked,USA,White shark,lower right leg and foot bitten,16-Oct-2006,M,False
Unprovoked,USA,White shark,left ankle bitten,10-Oct-2006,M,False
Unprovoked,USA,1' to 4' shark,lacerations to lower left leg,07-Oct-2006,M,False
Unprovoked,USA,3' to 3.5' shark,lacerations to foot,05-Oct-2006,M,False
Unprovoked,BAHAMAS,White shark,puncture wounds to left foot,Oct-2006,F,False
Invalid,SOUTH AFRICA,Invalid,no injury; 4m white shark made a threat display,30-Sep-2006,M,False
Unprovoked,USA,White shark,big toe bitten,29-Sep-2006,M,False
Provoked,USA,Nurse shark,lacerations to upper lip    provoked incident,Reported 18-Sep-2006,M,False
Unprovoked,USA,White shark,laceration to left thigh,16-Sep-2006,M,False
Unprovoked,USA,Spinner shark,minor injury to left hand,14-Sep-2006,M,False
Unprovoked,USA,5' shark,left torso grazed,11-Sep-2006,M,False
Invalid,AUSTRALIA,No shark involvement,"killed by a stingray, not a shark - a tragedy for his family and marine wildlife",04-Sep-2006,M,False
Unprovoked,BRAZIL,White shark,fatal,03-Sep-2006,M,True
Unprovoked,USA,3' shark,puncture wounds and cuts to right thigh,03-Sep-2006,M,False
Unprovoked,USA,White shark,arm bitten,02-Sep-2006,M,False
Unprovoked,SOUTH AFRICA,"White shark, 3.5m ","no injury, shark rammed surfboard",02-Sep-2006,M,False
Unprovoked,USA,White shark,laceration & puncture wounds to foot,29-Aug-2006,M,False
Unprovoked,AUSTRALIA,"Bronze whaler shark, 6'","no injury, shark towed  surfer & board",29-Aug-2006,M,False
Unprovoked,REUNION,White shark,laceration to right calf & heel,27-Aug-2006,M,False
Invalid,BRAZIL,Shark involvement prior to death was not confirmed,shark bites may have been post mortem,22-Aug-2006,M,False
Invalid,BELIZE,Shark involvement prior to death was not confirmed,shark involvement prior to death not confirmed,22-Aug-2006,M,False
Sea Disaster,ITALY,White shark,fatal,20-Aug-2006,M,True
Unprovoked,REUNION,White shark,fatal,20-Aug-2006,M,True
Unprovoked,SOUTH AFRICA,5 m shark,"no injury, surfboard leash severed",15-Aug-2006,M,False
Unprovoked,SOUTH AFRICA,White shark,foot severed,13-Aug-2006,M,False
Unprovoked,USA,White shark,lacerations & punctures to left foot,Aug-2006,F,False
Unprovoked,REUNION,"Bull shark, 1.5m ",thigh bitten,Early Aug-2006,M,False
Unprovoked,USA,White shark?,minor injury,31-Jul-2006,M,False
Invalid,USA,"Thought to involve a mako shark, but possibly a sea lion","bruises, laceration to head, spinal cord injury & neck broken at c5/c6",29-Jul-2006,M,False
Unprovoked,USA,White shark,foot bitten,29-Jul-2006,M,False
Unprovoked,SOUTH AFRICA,"White shark, 3m to 4m","no injury, surf ski bitten",28-Jul-2006,M,False
Unprovoked,USA, ,minor lacerations to right foot,25-Jul-2006,M,False
Unprovoked,USA,"Bull shark, 4' to 5' ",right foot bitten,23-Jul-2006,M,False
Unprovoked,USA,"Angel shark, 1.2m ",left ankle & foot bitten,17-Jul-2006,M,False
Invalid,SPAIN,"Shark involvement not confirmed, injury may have been caused by a bluefish",hand & wrist severely bitten,13-Jul-2006,F,False
Unprovoked,USA,White shark,ankle & foot bitten,12-Jul-2006,F,False
Unprovoked,BRAZIL,Bull or tiger shark,fatal,10-Jul-2006,M,True
Unprovoked,USA,White shark,dorsum of left foot bitten,09-Jul-2006,M,False
Unprovoked,USA,White shark,lower leg & ankle bitten,09-Jul-2006.,M,False
Unprovoked,USA,5' to 6' spinner or bull shark,foot bitten,08-Jul-2006,F,False
Unprovoked,USA,White shark,right calf bitten,08-Jul-2006,M,False
Unprovoked,USA,"1.8 m blacktip ""reef"" shark",lacerations & puncture wound  to arm,July 2006,F,False
Unprovoked,USA,"1.8 m blacktip ""reef"" shark",minor injuries,July 2006,M,False
Unprovoked,USA,White shark,right calf bitten,27-Jun-2006,F,False
Provoked,USA,White shark,non-swimmer pulled off pier& into the water by a hooked shark provoked incident,26-Jun-2006,M,False
Unprovoked,BAHAMAS,White shark,right arm severely bitten,24-Jun-2006,M,False
Unprovoked,USA,Possibly a 1' to 3' blacktip or spinner shark,2-inch puncture wounds on right foot,20-Jun-2006,F,False
Unprovoked,BRAZIL,White shark,left thigh bitten fatal,18-Jun-2006,M,True
Unprovoked,USA,White shark,"no injury, shark bit scuba tank boot",17-Jun-2006,M,False
Unprovoked,USA,2' to 3' shark,four 1-inch puncture wounds on left foot,15-Jun-2006,M,False
Unprovoked,USA,3' to 4' shark,lacerations & puncture wounds to left foot & buttocks,07-Jun-2006,F,False
Unprovoked,AUSTRALIA,14' white shark,"no injury, knocked off surfboard",05-Jun-2006,M,False
Unprovoked,USA,"Tiger shark, 8' to 12'","4"" laceration to left forearm",31-May-2006,M,False
Unprovoked,USA,White shark,"no injury, shark bumped surfboard",27-May-2006,M,False
Provoked,USA,"Grey reef shark, 5' to 8' ",knee bitten after diver poked shark provoked incident,24-May-2006,M,False
Unprovoked,BRAZIL,White shark,"injuries to left thigh, calf & foot",21-May-2006,M,False
Unprovoked,USA,"Tiger shark, 10' to 12'",laceration to leg,19-May-2006,F,False
Unprovoked,USA,White shark,small lacerations to arm,05-May-2006,M,False
Unprovoked,USA,White shark,2 lacerations on lower right leg,04-May-2006,F,False
Provoked,AUSTRALIA,"Wobbegong shark, 2 m ",abrasion & 6 puncture wounds on chest after grabbing the shark by its tail provoked incident,02-May-2006,M,False
Invalid,USA,Invalid,shark bites post mortem,Reported      23-Apr-2006,M,False
Unprovoked,USA,White shark,feet bitten,21-Apr-2006,M,False
Unprovoked,USA,White shark,3 tiny punctures & small lacerations on right ankle,19-Apr-2006,F,False
Provoked,USA,"Bull shark, 4' to bull shark",3 to 4 cm laceration on foot from hooked shark brought on board provoked incident,13-Apr-2006,M,False
Unprovoked,AUSTRALIA,"Bronze whaler shark, a  juvenile ",minor laceration to left foot,11-Apr-2006,M,False
Unprovoked,SOUTH AFRICA,"Raggedtooth shark, 2.5 m to 3 m ",leg bitten,09-Apr-2006,M,False
Unprovoked,BRAZIL,Tiger shark,left leg bitten,09-Apr-2006,M,False
Unprovoked,USA,White shark,minor injury to right hand & thigh,03-Apr-2006,M,False
Unprovoked,Sierra Leone,"3 m, 600-kg shark",reportedly fatal but few details,Reported  28-Mar-2006,M,True
Unprovoked,USA,"Tiger shark, 10'  ",5 puncture wounds in left calf,23-Mar-2006,F,False
Invalid,SOUTH AFRICA,Shark involvement prior to death was not confirmed,"fatal, but shark involvement prior to death unconfirmed",22-Mar-2006,M,True
Unprovoked,FIJI,"Tiger shark, 5' ",lacerations to right hand,18-Mar-2006,M,False
Unprovoked,AUSTRALIA,"Bronze whaler shark, 2 m","no injury, shark nudged surfboard",15-Mar-2006,M,False
Unprovoked,USA,5' to 7' shark,deep laceration to right calf,27-Feb-2006,F,False
Invalid,USA,Invalid,forensic examination suggested diver drowned & afterwards his body was bitten by a shark/s,23-Feb-2006,M,False
Unprovoked,AUSTRALIA,White shark,lacerations to foot,13-Feb-2006,M,False
Unprovoked,AUSTRALIA,White shark,puncture wound on arm,12-Feb-2006,M,False
Watercraft,AUSTRALIA,4.5 m white shark,no injury to occupants; shark nudged the 5.3 m boat,12-Feb-2006,M,False
Unprovoked,SOUTH AFRICA,Raggedtooth shark,2 bite marks on right calf,08-Feb-2006,M,False
Unprovoked,TONGA,Tiger shark,severe bite to right leg fatal,01-Feb-2006,F,True
Watercraft,USA,12' to 18' shark,no injury to occupant; shark bumped the kayak repeatedly for 15 minutes,01-Feb-2006,M,False
Watercraft,ATLANTIC OCEAN,12' shark,no injury to occupants; shark rammed boat repeatedly,Reported 28-Jan-2006,M,False
Unprovoked,SOUTH AFRICA,White shark,right arm  bitten,25-Jan-2006,M,False
Watercraft,ATLANTIC OCEAN,White shark,"no injury to occupants; a shark, accidentally caught in a line, threatened to rip out the transom",23-Jan-2006,F,False
Unprovoked,USA,White shark,"no injury, but 2 small nicks on wetsuit",18-Jan-2006,M,False
Unprovoked,AUSTRALIA,3.5 m white shark,lacerations to left elbow,15-Jan-2006,M,False
Invalid,BAHAMAS,Invalid,"no injury, divers felt threatened by 10' pregnant female tiger shark & killed the shark",11-Jan-2006,M,False
Unprovoked,AUSTRALIA,Bull shark,fatal,07-Jan-2006,F,True
Unprovoked,USA,4' shark,3 puncture wounds in right wrist & hand,04-Jan-2006,M,False
Unprovoked,SOUTH AFRICA,Said to involve a 1.5 m shark,lacerations to little finger,01-Jan-2006,M,False
Unprovoked,USA,White shark,lacerations to ankle & calf,24-Dec-2005,M,False
Unprovoked,USA,Tiger shark,left hand bitten,21-Dec-2005,M,False
Unprovoked,AUSTRALIA,Whitetip reef shark,right forearm & elbow bitten,11-Dec-2005,M,False
Unprovoked,USA,White shark,left foot bitten,Reported 29-Nov-2005,M,False
Unprovoked,USA,4' shark,right thumb & palm lacerated,27-Nov-2005,M,False
Unprovoked,AUSTRALIA,1.8 m shark,"2 lacerations on leg, each 4"" to 5"" long",25-Nov-2005,M,False
Unprovoked,SOUTH AFRICA,White shark,"cut on finger, board bitten",25-Nov-2005,M,False
Unprovoked,USA,4' shark,left foot bitten,21-Nov-2005,M,False
Unprovoked,USA,White shark,lacerations to right thigh,20-Nov-2005,M,False
Provoked,SOUTH AFRICA,"Raggedtooth shark, 2.5m ",lacerations to hands & right leg when he tried to pull shark from the water provoked incident,15-Nov-2005,M,False
Unprovoked,USA,6' shark,puncture wounds to right foot,12-Nov-2005,M,False
Unprovoked,USA,White shark,"no injury, board bitten",02-Nov-2005,M,False
Unprovoked,USA,12' to 14' white shark,"no injury, board bumped",02-Nov-2005,M,False
Unprovoked,USA,2' to 3' shark,puncture wounds to foot,29-Oct-2005,M,False
Unprovoked,ST. MAARTIN,2' shark,lower right leg lacerated,25-Oct-2005,M,False
Unprovoked,SOUTH AFRICA,3 m shark,right foot bitten,22-Oct-2005,M,False
Unprovoked,USA,White shark,no injury,21-Oct-2005,M,False
Unprovoked,USA,18' white shark,leg bitten,19-Oct-2005,F,False
Provoked,USA,White shark,minor cuts to dorsum & sole of left foot when he stepped on shark provoked incident,15-Oct-2005,M,False
Unprovoked,USA,"Tiger shark, less than 10'","no injury, surfboard bitten",13-Oct-2005,M,False
Unprovoked,GRAND CAYMAN,Caribbean reef sharks,no injury,11-Oct-2005,F,False
Unprovoked,USA,White shark,five 1-inch lacerations to left foot,06-Oct-2005,M,False
Unprovoked,BAHAMAS,White shark,lacerations to right side of face,03-Oct-2005,M,False
Unprovoked,SOUTH AFRICA,White shark,"no injury, shark bit ski",01-Oct-2005,M,False
Unprovoked,AUSTRALIA,"Tiger shark, 3 m ","no injury, knocked off board",Reported      27-Sep-2005,M,False
Unprovoked,AUSTRALIA,14' to 16' white shark,lacerations to legs,24-Sep-2005,M,False
Unprovoked,AUSTRALIA,Bronze whaler shark,no injury,23-Sep-2005,M,False
Invalid,USA,Shark involvement not confirmed,lacerations to dorsum of left foot,22-Sep-2005,M,False
Unprovoked,USA,3' to 4' shark,"injuries to fingers, calf  & heel",20-Sep-2005,F,False
Unprovoked,USA,White shark,fatal,11-Sep-2005,M,True
Unprovoked,AUSTRALIA,White shark,left foot & ankle lacerated,07-Sep-2005,M,False
Unprovoked,USA,Bull shark,calf severely lacerated,05-Sep-2005,F,False
Unprovoked,AUSTRALIA,4 m [13'] white shark,lacerations to right arm & thigh,04-Sep-2005,M,False
Unprovoked,USA,White shark,right foot bitten,02-Sep-2005,M,False
Provoked,THAILAND,"2 m [6.75'] shark, 200-kg shark T",fatal provoked incident,02-Sep-2005,M,True
Unprovoked,AUSTRALIA,White shark,fatal,24-Aug-2005,M,True
Unprovoked,USA,juvenile white shark,lower right leg lacerated,24-Aug-2005,M,False
Invalid,USA,Shark involvement not confirmed,"laceration to knee, possibly by a  small blacktip shark",22-Aug-2005,M,False
Unprovoked,USA,Possibly a sandbar shark or small blacktip shark,bitten underneath left arm,21-Aug-2005,M,False
Unprovoked,USA,White shark,left foot bitten,19-Aug-2005,M,False
Unprovoked,USA,1.8 m [6'] shark,laceration on right wrist & crescent of puncture wounds on  forearm,12-Aug-2005,M,False
Unprovoked,USA,White shark,puncture wounds on left foot,6-Aug-2005,M,False
Invalid,Seychelles,Invalid,"fatal, shark involvement prior to death is unconfirmed",1-Aug-2005,M,True
Unprovoked,USA,White shark,laceration on the back of left hand & toothmarks on wrist,27-Jul-2005,F,False
Unprovoked,USA,White shark,"right foot: toes and back of foot, minor injury",23-Jul-2005,M,False
Invalid,USA,Shark involvement not confirmed,"straight 2.5"" laceration on top of left ankle",22-Jul-2005,M,False
Invalid,LIBERIA,Shark involvement prior to death was not confirmed,presumed to have drowned until his body washed ashore 2 weeks later with shark bites,17-Jul-2005,M,False
Provoked,CHINA,3.5 m [11.5']shark,2 small cuts on right ear & head when he collided with the captive shark. provoked incident,17-Jul-2005,M,False
Unprovoked,USA,[4.5' to 5'] shark,lacerations of left forearm,15-Jul-2005,M,False
Unprovoked,USA,[4' to 5'],left foot bitten,13-Jul-2005,F,False
Unprovoked,USA,White shark,ankle bitten,1-Jul-2005,M,False
Unprovoked,USA,Bull shark,"leg severely bitten, surgically amputated",27-Jun-2005,M,False
Unprovoked,USA,1.8 m [6'] bull shark,"fatal, leg bitten",25-Jun-2005,F,True
Unprovoked,VANUATU,"On 8/13/2005 anglers from New Zealand caught a 2.8 m [9'3""], 140-kg [309-lb] shark at the same spot. It was believed this was the same shark that killed Alysha",fatal,22-Jun-2005,F,True
Unprovoked,MEXICO ,White shark,left foot bitten,20-Jun-2005,M,False
Invalid,USA,Invalid,"no injury, 2.1m [7'] tiger shark approached swimmer who repelled it with his fist",18-Jun-2005,M,False
Unprovoked,USA,"Unknown, but it was reported that a shark tooth was recovered from the wound",foot bitten,16-Jun-2005,M,False
Unprovoked,SOUTH KOREA,3 m [10'] white shark,knee bitten,13-Jun-2005,F,False
Unprovoked,USA,White shark,foot lacerated,07-Jun-2005,F,False
Invalid,USA,"Mr. Burgess of ISAF announced the injury was the bite of a 1.8 m [6'], 2- to 3-year old white shark. Subsequent investigation revealed there was  no shark involvement in this incident",dorsum of foot/ankle  injured by surfboard skeg or other inanimate object.,05-Jun-2005,M,False
Unprovoked,SOUTH AFRICA,White shark,fatal,04-Jun-2005,M,True
Unprovoked,USA,White shark,two 2-inch lacerations on right foot,02-Jun-2005,M,False
Unprovoked,USA,"""small shark""",left foot bitten,28-May-2005,M,False
Unprovoked,USA,"18"" to 36"" shark",right arm & torso bitten,27-May-2005,F,False
